#target field - 3 [uT]	 U_theta[ppm]	 U_lc[ppm]	 cost[ppm]	 total volume[cc]
0	0.487996	0.69097	1.0002e+06	1020.06
-20	0.0854369	0.135212	1.00004e+06	1025.52
-40	0.0276651	0.0545876	1.00002e+06	1046.64
-60	0.0121782	0.0303209	1.00002e+06	1078.86
-80	0.0113674	0.0238299	1.00003e+06	1126.59
-100	0.0121113	0.0239691	1.00004e+06	1184.51
-120	0.0128291	0.0246262	1.00005e+06	1247.37
-140	0.013523	0.0257408	1.00005e+06	1316.96
-160	0.0141163	0.0271854	1.00006e+06	1390.1
-180	0.014646	0.0290402	1.00007e+06	1465.58
-200	0.0151579	0.0306898	1.00007e+06	1542.68
-220	0.0156405	0.0321882	1.00008e+06	1621.64
-240	0.0160822	0.0336487	1.00009e+06	1701.85
-260	0.0164889	0.0349838	1.00009e+06	1783.91
-280	0.016879	0.0360999	1.0001e+06	1867.08
-300	0.0172044	0.0369714	1.00011e+06	1952.34
-320	0.0175231	0.0377435	1.00011e+06	2039.19
-340	0.0178542	0.0384929	1.00012e+06	2126.39
-360	0.0181792	0.0391949	1.00013e+06	2213.68
-380	0.0184868	0.0398319	1.00013e+06	2301.66
-400	0.0187874	0.0403979	1.00014e+06	2390.15
-420	0.0190858	0.0409236	1.00015e+06	2479.09
-440	0.0193866	0.0413899	1.00015e+06	2568.56
-460	0.0196902	0.0418552	1.00016e+06	2658.12
-480	0.019994	0.0423206	1.00017e+06	2747.68
-500	0.0202943	0.0427801	1.00017e+06	2837.33
-520	0.0205898	0.0432144	1.00018e+06	2927.09
-540	0.0208852	0.0436488	1.00019e+06	3016.85
-560	0.0211807	0.0440832	1.0002e+06	3106.6
-580	0.0214761	0.0445175	1.0002e+06	3196.36
